idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,MinDiam
9,000.1-01.9,"JaSt 93",17:53:23.78,-29:49:45.5,14.0,
10,000.1-08.0,"SB 1",18:18:48.5,-32:47:55.32,29.4,28.8
12,000.1+02.6,"Al 2-J",17:35:35.4,-27:24:04.97,10.5,
13,000.1-05.6,"H 2-40",18:08:30.7,-31:36:35.64,18.3,16.9
15,000.0-01.0,"JaSt 69",17:50:10.0,-29:19:05.38,14.0,
19,000.2-01.9,"M 2-19",17:53:45.6,-29:43:46.34,20.0,
23,000.3+12.2,"IC 4634",17:01:33.6,-21:49:32.77,20.5,6.6
24,000.3+06.9,"Terz N 41",17:20:22.0,-24:51:52.24,15.2,
32,000.5-01.7,"JaSt 96",17:53:57.6,-29:20:15.72,25.0,
43,000.8+01.3,"JaSt 38",17:42:32.4,-27:33:15.84,10.9,9.6
48,000.9-04.8,"M 3-23",18:07:06.1,-30:34:16.97,13.6,12.5
49,000.9-00.9,"JaSt 78",17:51:24.7,-28:35:40.56,11.0,
51,001.0+01.9,"K 1-4",17:40:27.40,-27:01:02.0,48.1,33.6
52,001.1-06.4,"SB 4",18:14:14.2,-31:11:09.10,33.0,28.2
61,001.3-05.6,"SB 5",18:11:15.41,-30:37:50.0,20.0,14.0
65,001.4-03.4,"ShWi 2-1",18:02:26.4,-29:25:05.52,13.0,
72,001.6-05.9,"SB 6",18:13:15.8,-30:26:00.96,26.4,19.8
77,001.7-01.6,"H 2-31",17:56:02.39,-28:14:12.14,10.2,
78,001.7-03.8,"ShWi 2-7",18:05:05.5,-29:20:15.36,28.0,9.0
87,002.2+00.5,"Terz N 2337",17:48:45.1,-26:43:24.60,35.1,
91,002.3+02.2,"K 5-11",17:42:30.0,-25:45:27.07,12.0,10.0
92,002.3-07.8,"M 2-41",18:22:34.6,-30:43:29.64,14.0,14.0
94,002.4+05.8,"NGC 6369",17:29:20.4,-23:45:34.24,72.0,
95,002.4-03.2,"Wray 17-107",18:04:05.4,-28:27:50.90,18.6,15.4
100,002.6+05.5,"K 5-3",17:30:41.2,-23:45:00.40,16.0,10.0
105,002.7-04.8,"M 1-42",18:11:05.0,-28:58:59.34,13.1,11.3
107,002.8+01.8,"Terz N 1567",17:45:28.3,-25:38:12.48,11.8,8.9
108,002.8-02.2,"Pe 2-12",18:01:10.1,-27:38:26.20,10.5,5.0
112,003.1+04.1,"K 5-7",17:37:20.2,-24:03:29.52,10.3,
113,003.1+02.9,"Hb 4",17:41:52.8,-24:42:08.4,11.1,6.8
118,003.3-06.1,"SB 7",18:17:46.4,-29:06:07.52,10.2,6.0
119,003.3-04.6,"Ap 1-12",18:11:35.1,-28:22:37.02,12.0,9.0
120,003.3+66.1,"SkAc 1",14:16:22.0,13:52:24.13,50.0,45.0
123,003.5-04.6,"NGC 6565",18:11:52.5,-28:10:42.28,18.0,13.0
124,003.5-02.4,"IC 4673",18:03:18.4,-27:06:22.61,22.0,15.2
126,003.6-02.3,"M 2-26",18:03:11.8,-26:58:30.22,10.5,10.4
127,003.6+04.9,"K 5-6",17:35:31.2,-23:11:47.62,22.6,9.7
128,003.7+07.9,"H 2-8",17:24:45.5,-21:33:35.24,11.9,6.7
147,004.6-09.9,"SB 9",18:35:42.3,-29:38:23.06,13.2,13.2
149,004.7-11.8,"Hen 2-418",18:44:14.6,-30:19:36.77,14.0,8.5
150,004.8-05.0,"M 3-26",18:16:11.4,-27:14:57.44,11.0,9.5
156,005.0-03.9,"H 2-42",18:12:23.0,-26:32:54.38,13.0,11.9
157,005.0+03.0,"Pe 1-9",17:45:36.7,-23:02:25.44,13.6,13.4
159,005.1-08.9,"Hf 2-2",18:32:30.83,-28:43:20.0,21.7,21.7
166,005.5-02.5,"M 3-24",18:07:53.9,-25:24:02.70,10.2,
168,005.6-04.7,"KFL 16",18:16:54.0,-26:23:21.12,12.4,
170,005.7-03.6,"KFL 13",18:12:44.6,-25:44:19.68,14.2,
172,005.8+05.1,"H 2-16",17:39:55.4,-21:14:11.40,23.6,
178,006.2+01.0,"HaTr 8",17:55:55.92,-22:59:01.0,13.0,
183,006.5-05.8,"SB 13",18:23:00.2,-26:05:15.72,37.8,36.6
187,006.8-08.6,"Al 1",18:34:55.3,-27:06:18.11,14.5,12.3
199,007.7-05.3,"SB 14",18:23:42.5,-24:47:28.32,19.2,18.6
206,008.3-01.1,"M 1-40",18:08:26.0,-22:16:53.26,15.5,
211,008.8+05.2,"Th 4-2",17:46:09.66,-18:39:30.3,19.0,
218,009.4-05.5,"NGC 6629",18:25:42.5,-23:12:10.58,16.6,15.5
219,009.4-05.6,"SB 16",18:28:21.3,-23:25:25.54,35.4,32.4
221,009.6+14.8,"NGC 6309",17:14:04.3,-12:54:37.69,22.8,12.4
222,009.6+10.5,"Abell 41",17:29:02.0,-15:13:05.20,20.2,17.3
227,010.6+03.2,"Th 4-10",17:57:06.5,-18:06:41.40,13.5,
231,010.8-01.8,"NGC 6578",18:16:16.5,-20:27:02.66,12.1,11.8
238,011.1-07.9,"SB 17",18:40:19.93,-22:54:29.3,19.8,19.2
241,011.4+17.9,"DeHt 10",17:06:55.2,-09:47:01.18,32.0,19.0
242,011.4-07.3,"SB 18",18:38:43.1,-22:24:13.97,12.6,11.4
247,012.2+04.9,"PM 1-188",17:54:21.1,-15:55:51.78,16.0,15.0
256,013.7-15.3,"We 4-5",19:14:11.2,-23:41:24.00,45.0,35.0
257,013.8-07.9,"PC 21",18:45:35.29,-20:34:59.6,13.2,
261,014.3-05.5,"V-V 3-6",18:37:11.1,-19:02:21.55,11.9,
262,014.4-06.1,"SB 19",18:39:40.1,-19:14:12.05,10.7,10.7
264,014.8-25.6,"HaWe 14",19:58:13.1,-26:28:15.89,79.0,50.0
265,014.9-03.1,"SaSt 3-166",18:29:11.3,-17:27:12.89,13.0,
266,014.9+06.4,"K 2-5",17:54:26.33,-12:48:34.0,52.0,
268,015.6-03.0,"Abell 44",18:30:10.8,-16:45:20.52,67.0,47.0
270,016.0+13.5,"Abell 42",17:31:29.1,-08:19:10.16,60.0,60.0
