run,ccd,url,band,qcgrade,pn_index,pn_name,pn_ra,pn_dec,pn_size,num_panels
380083,3,http://www.iphas.org/data/images/r380/r380083-3.fits.fz,halpha,D,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
380084,3,http://www.iphas.org/data/images/r380/r380084-3.fits.fz,r,D,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
380085,3,http://www.iphas.org/data/images/r380/r380085-3.fits.fz,i,D,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
380086,3,http://www.iphas.org/data/images/r380/r380086-3.fits.fz,halpha,D,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
380087,3,http://www.iphas.org/data/images/r380/r380087-3.fits.fz,r,D,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
380088,3,http://www.iphas.org/data/images/r380/r380088-3.fits.fz,i,D,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
414150,2,http://www.iphas.org/data/images/r414/r414150-2.fits.fz,halpha,A++,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
414151,2,http://www.iphas.org/data/images/r414/r414151-2.fits.fz,r,A++,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
414152,2,http://www.iphas.org/data/images/r414/r414152-2.fits.fz,i,A++,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
921836,3,http://www.iphas.org/data/images/r921/r921836-3.fits.fz,halpha,A,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
921837,3,http://www.iphas.org/data/images/r921/r921837-3.fits.fz,r,A,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
921838,3,http://www.iphas.org/data/images/r921/r921838-3.fits.fz,i,A,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
921839,3,http://www.iphas.org/data/images/r921/r921839-3.fits.fz,halpha,A,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
921840,3,http://www.iphas.org/data/images/r921/r921840-3.fits.fz,r,A,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
921841,3,http://www.iphas.org/data/images/r921/r921841-3.fits.fz,i,A,4,Su Objet 2,3.4511249999999998,65.80424722222222,0.018333333333333333,15
478226,4,http://www.iphas.org/data/images/r478/r478226-4.fits.fz,halpha,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
478227,4,http://www.iphas.org/data/images/r478/r478227-4.fits.fz,r,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
478228,4,http://www.iphas.org/data/images/r478/r478228-4.fits.fz,i,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
478229,4,http://www.iphas.org/data/images/r478/r478229-4.fits.fz,halpha,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
478230,4,http://www.iphas.org/data/images/r478/r478230-4.fits.fz,r,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
478231,4,http://www.iphas.org/data/images/r478/r478231-4.fits.fz,i,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
480267,2,http://www.iphas.org/data/images/r480/r480267-2.fits.fz,halpha,A,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
480268,2,http://www.iphas.org/data/images/r480/r480268-2.fits.fz,r,A,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
480269,2,http://www.iphas.org/data/images/r480/r480269-2.fits.fz,i,A,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
528450,4,http://www.iphas.org/data/images/r528/r528450-4.fits.fz,halpha,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
528451,4,http://www.iphas.org/data/images/r528/r528451-4.fits.fz,r,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
528452,4,http://www.iphas.org/data/images/r528/r528452-4.fits.fz,i,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
528453,4,http://www.iphas.org/data/images/r528/r528453-4.fits.fz,halpha,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
528454,4,http://www.iphas.org/data/images/r528/r528454-4.fits.fz,r,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
528455,4,http://www.iphas.org/data/images/r528/r528455-4.fits.fz,i,A++,5,MoMi 4,7.338166666666665,62.72569166666667,0.09000000000000001,15
480279,2,http://www.iphas.org/data/images/r480/r480279-2.fits.fz,halpha,A+,6,Ou 2,7.7381666666666655,61.41038888888889,0.021666666666666667,6
480280,2,http://www.iphas.org/data/images/r480/r480280-2.fits.fz,r,A+,6,Ou 2,7.7381666666666655,61.41038888888889,0.021666666666666667,6
480281,2,http://www.iphas.org/data/images/r480/r480281-2.fits.fz,i,A+,6,Ou 2,7.7381666666666655,61.41038888888889,0.021666666666666667,6
480282,2,http://www.iphas.org/data/images/r480/r480282-2.fits.fz,halpha,A+,6,Ou 2,7.7381666666666655,61.41038888888889,0.021666666666666667,6
