Name,RA,DEC
K 6-4,17:37:42.9,-27:49:09.55
JaSt 93,17:53:23.78,-29:49:45.5
SB 1,18:18:48.5,-32:47:55.32
M 3-43,17:50:24.3,-29:25:18.70
Al 2-J,17:35:35.4,-27:24:04.97
H 2-40,18:08:30.7,-31:36:35.64
PC 12,16:43:53.8,-18:57:11.88
JaSt 69,17:50:10.0,-29:19:05.38
H 1-16,17:29:23.4,-26:26:04.38
Bl 3-10,17:55:20.5,-29:57:36.14
M 2-19,17:53:45.6,-29:43:46.34
Wray 16-363,18:04:44.1,-31:02:48.16
JaSt 19,17:39:39.29,-27:47:21.9
M 2-28,18:05:02.7,-30:58:17.40
IC 4634,17:01:33.6,-21:49:32.77
Terz N 41,17:20:22.0,-24:51:52.24
M 3-47,17:57:43.4,-30:02:29.90
M 2-20,17:54:25.4,-29:36:08.78
M 3-19,17:58:19.3,-30:00:39.31
JaSt 36,17:42:25.1,-27:55:35.94
JaSt 17,17:39:31.2,-27:27:46.76
KFL 1,17:59:15.6,-30:02:47.15
Al 2-Q,17:53:25.0,-29:17:08.74
JaSt 96,17:53:57.6,-29:20:15.72
H 2-32,17:56:24.3,-29:38:06.40
JaSt 77,17:51:11.5,-28:56:26.16
Bl 3-15,17:52:36.05,-29:06:39.6
M 2-21,17:58:09.6,-29:44:20.08
M 3-22,18:02:19.2,-30:14:25.37
H 2-11,17:29:25.9,-25:49:06.64
M 4-5,17:34:54.7,-26:35:56.90
JaSt 74,17:50:46.76,-28:44:35.2
M 2-35,18:17:37.2,-31:56:46.86
JaSt 38,17:42:32.4,-27:33:15.84
JaSt 71,17:50:23.2,-28:33:10.37
Sa 3-90,17:53:49.7,-28:59:11.26
H 2-46,18:18:37.4,-31:54:45.43
JaSt 44,17:43:23.36,-27:34:05.2
M 3-23,18:07:06.1,-30:34:16.97
JaSt 78,17:51:24.7,-28:35:40.56
Bl 3-13,17:56:02.8,-29:11:16.22
K 1-4,17:40:27.40,-27:01:02.0
SB 4,18:14:14.2,-31:11:09.10
Sa 3-92,17:54:52.1,-28:48:55.33
JaSt 56,17:45:46.9,-27:30:42.91
Hen 2-262,17:40:12.8,-26:44:21.37
JaSt 95,17:53:35.3,-28:28:50.88
H 1-47,18:00:37.6,-29:21:50.22
SB 5,18:11:15.41,-30:37:50.0
Bl M,17:53:47.2,-28:27:18.0
JaSt 89,17:53:06.6,-28:18:11.16
H 1-15,17:28:37.6,-24:51:06.59
ShWi 2-1,18:02:26.4,-29:25:05.52
K 6-17,17:52:08.73,-28:02:17.1
K 5-5,17:35:22.12,-25:42:47.04
SwSt 1,18:16:12.3,-30:52:07.74
K 6-10,17:43:16.9,-26:44:17.56
Bl Q,17:54:34.9,-28:12:43.06
JaSt 63,17:48:46.2,-27:25:36.84
SB 6,18:13:15.8,-30:26:00.96
H 1-14,17:28:01.8,-24:25:23.02
H 1-55,18:07:14.552,-29:41:24.424
JaSt 52,17:44:37.2,-26:47:25.44
H 1-56,18:07:53.9,-29:44:34.26
H 2-31,17:56:02.39,-28:14:12.14
ShWi 2-7,18:05:05.5,-29:20:15.36
K 5-10,17:41:24.5,-26:03:53.28
M 2-33,18:15:06.5,-30:15:32.90
H 1-54,18:07:07.2,-29:13:06.35
M 3-20,17:59:19.3,-28:13:48.04
PBOZ 24,17:37:51.1,-25:20:44.59
JaFu 1,17:43:57.2,-26:11:53.52
M 2-23,18:01:42.6,-28:25:43.90
Terz N 2337,17:48:45.1,-26:43:24.60
H 1-63,18:16:19.3,-30:07:35.98
KFL 2,18:00:59.8,-28:16:18.84
Cn 1-5,18:29:11.65,-31:29:59.2
K 5-11,17:42:30.0,-25:45:27.07
M 2-41,18:22:34.6,-30:43:29.64
H 2-37,18:04:28.8,-28:37:38.28
NGC 6369,17:29:20.4,-23:45:34.24
Wray 17-107,18:04:05.4,-28:27:50.90
M 1-38,18:06:05.734,-28:40:30.001
Pe 2-11,17:58:31.2,-27:37:05.38
K 5-3,17:30:41.2,-23:45:00.40
H 1-11,17:21:17.7,-22:18:35.32
M 1-37,18:05:25.8,-28:22:04.19
Th 3-27,17:35:58.5,-24:25:29.14
IC 5148/50,21:59:35.2,-39:23:08.02
M 1-42,18:11:05.0,-28:58:59.34
H 2-20,17:45:39.8,-25:40:00.05
Terz N 1567,17:45:28.3,-25:38:12.48
Pe 2-12,18:01:10.1,-27:38:26.20
H 2-39,18:08:05.77,-28:26:10.8
PM 1-149,17:27:53.7,-22:57:18.86
KFL 4,18:02:51.5,-27:41:00.74
K 5-7,17:37:20.2,-24:03:29.52
Hb 4,17:41:52.8,-24:42:08.4
H 2-17,17:40:07.4,-24:25:42.56
KFL 12,18:10:30.8,-28:19:22.91
M 2-36,18:17:41.4,-29:08:19.57
KFL 19,18:23:08.9,-29:43:25.18
SB 7,18:17:46.4,-29:06:07.52
Ap 1-12,18:11:35.1,-28:22:37.02
SkAc 1,14:16:22.0,13:52:24.13
NGC 6565,18:11:52.5,-28:10:42.28
IC 4673,18:03:18.4,-27:06:22.61
M 2-14,17:41:57.3,-24:11:15.65
M 2-26,18:03:11.8,-26:58:30.22
K 5-6,17:35:31.2,-23:11:47.62
H 2-8,17:24:45.5,-21:33:35.24
M 2-30,18:12:34.4,-27:58:10.63
H 2-15,17:34:26.8,-22:53:19.72
H 1-59,18:11:29.3,-27:46:15.67
H 2-41,18:12:23.8,-27:52:13.87
M 1-35,18:03:39.31,-26:43:33.7
KFL 7,18:06:50.0,-27:06:19.51
Terz N 2111,17:48:28.4,-24:41:23.93
Hb 7,18:55:37.8,-32:15:48.53
M 3-29,18:39:25.8,-30:40:36.70
Pe 1-12,18:17:42.3,-28:17:15.79
M 2-29,18:06:40.9,-26:54:55.94
KFL 11,18:10:12.2,-27:16:35.00
H 1-60,18:12:25.2,-27:29:12.95
KFL 10,18:08:01.3,-26:54:01.51
M 2-37,18:18:38.3,-28:07:58.55
H 1-53,18:05:57.4,-26:29:41.50
SB 9,18:35:42.3,-29:38:23.06
H 1-24,17:33:37.6,-21:46:24.78
Hen 2-418,18:44:14.6,-30:19:36.77
M 3-26,18:16:11.4,-27:14:57.44
H 2-25,17:49:00.5,-23:42:54.58
Hen 2-436,19:32:06.7,-34:12:57.42
M 1-25,17:38:30.3,-22:08:38.87
M 1-44,18:16:17.3,-27:04:34.61
H 1-27,17:40:17.9,-22:19:17.65
H 2-42,18:12:23.0,-26:32:54.38
Pe 1-9,17:45:36.7,-23:02:25.44
H 1-58,18:09:13.8,-26:02:28.79
Hf 2-2,18:32:30.83,-28:43:20.0
K 5-19,17:49:51.3,-23:27:44.28
StWr 2-21,19:14:23.3,-32:34:16.75
M 3-12,17:36:22.6,-21:31:12.22
M 3-13,17:41:36.6,-22:13:02.46
PBOZ 34,18:05:25.4,-25:13:35.62
H 2-44,18:13:40.6,-26:08:38.72
M 3-24,18:07:53.9,-25:24:02.70
H 1-34,17:48:07.7,-22:46:47.53
KFL 16,18:16:54.0,-26:23:21.12
M 2-38,18:19:25.2,-26:35:19.93
KFL 13,18:12:44.6,-25:44:19.68
NGC 6620,18:22:54.2,-26:49:17.00
H 2-16,17:39:55.4,-21:14:11.40
M 2-31,18:13:16.0,-25:30:04.97
Th 4-3,17:48:37.4,-22:16:48.79
PRMG 1,21:05:53.6,-37:08:40.27
KFL 15,18:14:19.4,-25:20:49.56
HaTr 8,17:55:55.92,-22:59:01.0
H 2-22,17:47:33.9,-21:47:23.10
H 2-18,17:43:28.7,-21:09:51.30
Pe 2-13,18:18:13.4,-25:38:08.92
M 1-31,17:52:41.4,-22:21:56.84
SB 13,18:23:00.2,-26:05:15.72
H 1-61,18:12:34.0,-24:50:00.28
PN PBOZ 29,17:47:49.1,-21:32:22.09
M 1-41,18:09:30.6,-24:12:29.99
Al 1,18:34:55.3,-27:06:18.11
H 2-45,18:14:28.7,-24:43:37.96
Th 4-7,17:52:22.62,-21:51:13.7
Wray 16-423,19:22:10.6,-31:30:38.66
Pe 2-10,17:53:37.1,-21:58:43.14
Vy 2-1,18:27:59.6,-26:06:48.28
M 1-24,17:38:11.6,-19:37:37.63
H 1-66,18:24:57.4,-25:41:54.96
IC 4670,17:55:07.03,-21:44:40.2
M 1-22,17:35:10.2,-18:34:20.42
M 1-23,17:37:22.0,-18:46:41.88
SB 14,18:23:42.5,-24:47:28.32
M 2-34,18:17:15.9,-23:58:54.52
H 1-65,18:20:08.8,-24:15:05.08
NGC 6445,17:49:15.3,-20:00:34.45
M 2-39,18:22:01.1,-24:10:40.19
M 2-42,18:22:32.1,-24:09:27.61
M 1-40,18:08:26.0,-22:16:53.26
NGC 6644,18:32:34.6,-25:07:44.00
H 1-64,18:18:23.9,-23:24:57.13
Hen 2-406,18:31:52.8,-24:46:16.54
MaC 1-11,18:14:50.9,-22:43:55.42
Th 4-2,17:46:09.66,-18:39:30.3
GLMP 707,18:04:08.4,-20:57:05.40
Th 4-9,17:56:00.6,-19:29:26.59
Th 4-6,17:50:57.2,-18:46:48.14
M 3-32,18:44:43.1,-25:21:33.84
NGC 6629,18:25:42.5,-23:12:10.58
SB 16,18:28:21.3,-23:25:25.54
M 3-33,18:48:12.1,-25:28:52.39
NGC 6309,17:14:04.3,-12:54:37.69
Abell 41,17:29:02.0,-15:13:05.20
H 1-67,18:25:05.0,-22:34:52.64
NGC 6537,18:05:13.1,-19:50:34.87
M 2-17,17:52:04.8,-17:36:05.76
Th 4-10,17:57:06.5,-18:06:41.40
Sa 2-230,17:42:02.0,-15:56:07.48
IC 4732,18:33:54.6,-22:38:40.92
Pe 1-13,18:34:51.7,-22:43:16.97
NGC 6578,18:16:16.5,-20:27:02.66
M 2-15,17:46:54.4,-16:17:24.79
NGC 6439,17:48:19.8,-16:28:44.22
M 1-47,18:29:11.2,-21:46:53.44
M 2-13,17:28:34.2,-13:26:20.83
SB 17,18:40:19.93,-22:54:29.3
My 121,18:46:35.1,-23:26:48.32
Th 4-11,18:00:08.8,-17:40:43.32
DeHt 10,17:06:55.2,-09:47:01.18
SB 18,18:38:43.1,-22:24:13.97
NGC 6567,18:13:45.16,-19:04:34.1
M 1-43,18:11:48.9,-18:46:21.68
M 1-32,17:56:20.0,-16:29:03.95
PM 1-188,17:54:21.1,-15:55:51.78
M 1-62,18:50:26.0,-22:34:22.55
M 1-45,18:23:08.0,-19:17:05.24
Pe 2-14,18:29:59.4,-19:40:37.67
M 1-33,17:58:58.8,-15:32:14.78
Sn 1,16:21:04.4,-00:16:10.52
M 1-48,18:29:30.0,-19:05:44.59
We 4-5,19:14:11.2,-23:41:24.00
PC 21,18:45:35.29,-20:34:59.6
SaWe 3,18:26:03.68,-18:12:34.5
V-V 3-5,18:36:32.34,-19:19:27.2
M 3-31,18:44:01.8,-19:54:52.52
V-V 3-6,18:37:11.1,-19:02:21.55
SB 19,18:39:40.1,-19:14:12.05
M 1-50,18:33:20.9,-18:16:36.88
HaWe 14,19:58:13.1,-26:28:15.89
SaSt 3-166,18:29:11.3,-17:27:12.89
K 2-5,17:54:26.33,-12:48:34.0
M 1-53,18:35:48.335,-17:36:08.285
Abell 44,18:30:10.8,-16:45:20.52
M 1-39,18:07:30.7,-13:28:47.60
Abell 42,17:31:29.1,-08:19:10.16
M 1-54,18:36:08.4,-16:59:57.01
M 1-56,18:37:46.3,-17:05:46.54
M 1-46,18:27:56.3,-15:32:54.42
SB 22,18:48:30.4,-17:43:54.77
Sa 3-134,18:29:19.8,-15:07:39.97
GLMP 621,17:42:14.4,-08:43:18.62
Abell 65,19:46:34.21,-23:08:13.1
SB 23,18:50:13.2,-17:02:21.55
VSP 2-18,18:27:13.4,-14:08:34.58
Abell 51,19:01:01.39,-18:12:15.5
M 1-52,18:33:58.5,-14:52:25.03
