Name,Gal. Coord.,RA,DEC,Size,Statut
Pre 71,,00:00:07.00,+29:57:00.00,6.5 min d'arc,Naine blanche
StDr 141,,00:10:21.67,+48:47:11.91,4.2 x 2.7 min d'arc,Vraie NP
Dr 27,,00:11:03.42,+57:10:36.30,9 min d'arc,NP Probable
Ra 65,,00:11:45.64,+50:49:38.10,1.8 x 0.8 min d'arc,Nouvelle candidate
Su Objet 2,,00:13:48.27,+65:48:15.29,1.1 x 0.8 min d'arc,Etoile avec raies en émission possible
MoMi 4,,00:29:21.16,+62:43:32.49,5.4 min d'arc,Nouvelle candidate
Ou 2,,00:30:57.16,+61:24:37.40,1.3 min d'arc,Vraie NP
Hu 2,,00:33:57.40,+74:18:40.00,2.0 x 1.6 min d'arc,NP Probable
Mul-IR 86,,00:33:57.90,+67:18:30.00,min d'arc,
StDr Objet 18,,00:45:06.48,+62:07:47.12,0.4 min d'arc,Objet Herbig-Haro
StDrSai Objet 1,,00:47:00.00,+40:21:00.00,120 min d'arc,Nouvelle candidate
Mul-IR 87,,00:49:06.36,+61:53:39.80,min d'arc,
Hu Objet 2,,00:52:21.74,+51:52:40.50,5.7 x 3.5 min d'arc,Nouvelle candidate
Mul-IR 38,,00:54:07.70,+66:40:13.00,min d'arc,
Fe 7,,01:03:27.22,+69:46:55.00,6 x 4 min d'arc,Nouvelle candidate
StDr 35,,01:06:12.41,+54:54:11.41,16 x 10 min d'arc,Nouvelle candidate
DrSti 1,,01:06:28.60,+53:40:52.30,5 min d'arc,Nouvelle candidate
Dr 36,,01:07:40.04,+53:52:24.02,2.7 x 2.1 min d'arc,NP Probable
MoMiJi 1,,01:16:44.66,+60:00:52.70,5 min d'arc,NP Probable
PaStDr 3,,01:19:28.88,+49:01:09.38,12 min d'arc,Possible NP
Pre 8,,01:26:36.00,+18:51:19.80,1.6 min d'arc,Vraie NP
Pi 1,,01:26:40.01,-74:10:15.60,0.2 min d'arc,Possible NP
StDr 55,,01:32:38.77,+63:59:30.39,5 min d'arc,Nouvelle candidate
Maa 2,,01:34:24.08,+30:31:17.80,0.47 min d'arc,NP Probable
Ra 22,,01:34:56.00,+47:29:39.00,2.5 min d'arc,Nouvelle candidate
Pre Objet 5,,01:36:18.50,+54:18:40.00,1.8 x 1.5 min d'arc,Nouvelle candidate
Mul 8,,01:38:42.98,+55:04:58.40,0.6 min d'arc,Nouvelle candidate
Ra 53,,01:38:43.40,+54:50:25.00,0.7 min d'arc,Nouvelle candidate
Ra 19,,01:39:21.00,+55:12:14.00,1.3 min d'arc,Nouvelle candidate
Ra 52,,01:41:52.00,+60:45:07.00,0.7 min d'arc,Nouvelle candidate
Pre 36,,01:42:29.00,+52:15:53.00,3.5 min d'arc,Nouvelle candidate
DoS Objet 1,,01:42:59.23,+23:53:20.63,0.5 x 0.2 min d'arc,Nouvelle candidate
Ra 58,,01:47:12.00,+54:17:06.00,1.0 x 1.0 min d'arc,Nouvelle candidate
Pre Objet 6,,01:48:12.00,+54:13:30.00,1.6 x 1.3 min d'arc,Nouvelle candidate
Pre Objet 4,,01:52:50.00,+59:39:50.00,2.5 x 1.5 min d'arc,Nouvelle candidate
Ra 18,,01:55:39.00,+62:40:20.00,1 min d'arc,Nouvelle candidate
Ra 33,,01:56:05.00,+65:44:16.00,1.3 min d'arc,Nouvelle candidate
Fe 6,,01:56:25.25,+65:28:29.10,3.5 min d'arc,Vraie NP
StDr Objet 16,,02:06:48.64,+60:10:37.12,0.4 min d'arc,Nouvelle candidate
StDr 56,,02:07:17.41,+30:05:11.90,44 x 36 min d'arc,Nouvelle candidate
Fe 8,,02:10:10.64,+65:25:15.30,0.8 x 0.7 min d'arc,Vraie NP
Mo Objet 3,,02:10:23.87,+65:38:58.60,3.1 x 3.4 min d'arc,Nouvelle candidate
Ra 68,,02:11:11.20,+41:29:35.30,4.6 min d'arc,Nouvelle candidate
StDr 46,,02:15:34.62,+60:11:00.90,1.1 min d'arc,Vraie NP
PaStDr 9,,02:15:58.38,+38:46:19.95,90 min d'arc,Nouvelle candidate
Ra 46,,02:30:17.00,+56:33:37.00,1.6 x 1.6 min d'arc,Nouvelle candidate
Dr 28,,02:33:54.60,+49:45:51.73,4.5 min d'arc,Nouvelle candidate
StDr 61,,02:35:23.84,+63:03:02.35,13 min d'arc,Possible NP
Ra 32,,02:39:36.00,+57:12:23.00,0.5 min d'arc,Nouvelle candidate
LDû 14,,03:04:21.70,+62:18:01.30,1 min d'arc,Vraie NP
PaStDr 6,,03:22:38.97,+46:04:33.74,10 x 15 min d'arc,Nouvelle candidate
StDr 36,,03:24:22.82,+61:20:40.10,5.2 min d'arc,Nouvelle candidate
StDr 138,,03:37:55.76,+43:44:15.71,9.5 x 12 min d'arc,NP Probable
MoMi 1,,04:02:11.07,+56:54:28.93,0.1 min d'arc,Nouvelle candidate
StDr 104,,04:06:05.26,+42:41:20.37,12 min d'arc,Nouvelle candidate
Dr 26,,04:06:49.60,+59:43:46.08,3 min d'arc,Vraie NP
Ou 1,,04:07:21.62,+51:24:24.20,1.3 x 0.9 min d'arc,NP Probable
Pa 167,,04:17:26.43,+42:35:57.06,4.2 x 1.5 min d'arc,Vraie NP
StDr 57,,04:20:43.81,+44:56:28.17,1.5 min d'arc,Possible NP
Ra 48,,04:25:10.00,+25:36:51.00,1.1 x 0.7 min d'arc,Candidat rémanent de supernova
Br 2,,04:25:53.85,+44:19:07.90,0.2 min d'arc,Nouvelle candidate
StDr Objet 21,,04:26:23.65,+48:20:08.64,8 x 4.5 min d'arc,Nouvelle candidate
Ra 49,,04:31:13.53,+25:09:13.20,1.3 x 0.9 min d'arc,Objet Herbig-Haro
Mul-IR 41,,04:33:25.00,+44:24:55.00,min d'arc,
Hu 3,,04:41:10.89,+57:54:17.00,19.6 x 15.2 min d'arc,Nouvelle candidate
Su 8,,04:47:35.78,-67:30:49.68,0.2 min d'arc,Nouvelle candidate
Ra 47,,04:50:23.14,+43:45:42.40,3.1 x 3.1 min d'arc,Nouvelle candidate
StDr Objet 31,,04:52:32.41,+07:40:31.64,18 min d'arc,Candidat rémanent de supernova
SuFe 1,,04:53:53.90,+51:57:45.70,0.1 x 0.1 min d'arc,Vraie NP
Bish 2,,04:54:14.49,-66:24:17.50,0.3 min d'arc,Nouvelle candidate
Su Objet 1,,04:54:59.34,+51:25:20.10,0.6 x 0.2 min d'arc,Nouvelle candidate
StDr Objet 22,,04:55:05.36,+52:15:52.23,1.5 min d'arc,Candidat rémanent de supernova
Bish 1,,04:55:22.94,-66:41:24.40,0.2 min d'arc,Nouvelle candidate
Ra Objet 3,,04:56:28.00,+50:17:18.00,1.3 min d'arc,Vraie NP
Pi 2,,05:02:15.72,-71:25:26.04,0.2 min d'arc,Objet de nature inconnue
StDr Objet 30,,05:06:19.83,-10:47:37.37,7 min d'arc,Nouvelle candidate
St Objet 3,,05:08:19.00,-62:18:50.90,0.1 min d'arc,Nouvelle candidate
StDr 162,,05:11:01.97,+45:02:24.63,5.7 min d'arc,Possible NP
StDr 18,,05:11:33.10,+47:04:52.34,0.7 min d'arc,Possible NP
LDû 29,,05:12:47.69,-00:47:24.60,2.1 x 1.7 min d'arc,Nouvelle candidate
Or 1,,05:14:25.22,+41:13:09.07,1.0 x 0.9 min d'arc,Objet de nature inconnue
Ra Objet 5,,05:16:17.00,+27:27:23.00,1.2 min d'arc,Objet intéressant
StDr 125,,05:17:15.49,+44:11:20.99,6.2 min d'arc,Nouvelle candidate
DeGaPe 33,,05:17:52.67,+07:09:59.20,0.1 min d'arc,Etoile avec raies en émission
DeGaPe 32,,05:17:57.10,+07:26:24.70,0.1 min d'arc,Etoile avec raies en émission
StDr Objet 6,,05:18:17.68,+37:38:39.78,0.6 min d'arc,ISM ionisé
Ra 45,,05:21:05.55,+25:13:18.40,0.8 x 0.3 min d'arc,Nouvelle candidate
Mul-IR 89,,05:21:09.20,+36:39:35.00,0.1 min d'arc,Etoile avec raies en émission
